https://lh3.googleusercontent.com/pw/AIL4fc_8NUrZIaYz-fkispTevW9L3gYlOT_PZT80qzjzDyOBQ_jpqGJyeKlpDiubLNgFkwON5u4GgGgpaO2WGvdYpvqQQ70G8tao4RAqu65qOtP9zJyLxKNQ0WP6TxtR3qfvdAFFqurrexiWrV7oIXfnSVP_vw=w1465-h971-s-no?authuser=0, The Bridge at Night | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc9bjQLoQ3RejlrsoyKlxaNSXAUlpsbaz4I-P3X0iaWmHB3IiGSJzrw_jIwUWjygbQhlDbGaevi105tnQ-FlsaPZwd-FU-RTi5AfgnrmU00UMEPYqjkFQA1UdQFWnvJzhzskuSxOTqrdobBRdqI04NtvvA=w1465-h971-s-no?authuser=0, Sunset on SF | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc-pC7u_K6BhuPBPzJNh3bo6l4AmOZT44rv5Bnl80cMpnCll4WACqWPDXEat_ozboL3hfmerYmwli8X6HMZA4XJY2FYkceKGyjMsG7YlTIQttnIIFi3e-xrF9L44ZQsETZNjhtc8Rth191W2JZUgXHBO8Q=w1465-h971-s-no?authuser=0, Golden Gate in the Fog | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc91rvdhenL3WMCxDOtUsOe4MqTP7yVHbMBr2segVhRwzHjqaFziMZJzQZYW2fGtr42O7MM9XplW5GDKLkBDz5tYz705y7nV8tGHtOpNANUQcler4uywei9fZ6ORq5-YXkR9egUmleaR3mkTKt8DImHmJw=w644-h971-s-no?authuser=0, The Photographer | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc-ZW8d27HoVs9ycrU0c_NeWMXOLe-N9DGHAU2KPMh5pDKBDPqb7xhgAJosdvfFJaErKzHYuEmc6RJdyq3flWietBD9is45vbj2kubXUPU_YAd9_KnKDrqlQMY9laYG38JExfi9AsGkLVNAIcXQPQRfBPQ=w1465-h971-s-no?authuser=0, Chinatown | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc9CqHdsnFkFAdVhqlGplJSgl8urmpmharRVhW-3mNWyc4wMj6VPWmJsL0n0dgOuOM9JUjVFfyz7yFmXuDKa6skLmidCRQRcME7LJeheDSk1Zcnv8SpaewFtosuAd3Dfv3lBzwPj83HU0tiBIGjQ-CZkrw=w1465-h971-s-no?authuser=0, Coit | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc97JjI7_OBMM4xLc3icbRrOnEj7RgUWRU6S-yPrkfF5BO0hpfzyQfkrkohZ5If4JZ2qAsu9r229n8VysTUDfEvw0X7wGIwgPYSt_8otzS3CvhjF8eE9p9C-g0Wt2otCYXg_8uTSLDTNseDngtjFwSnX6g=w1465-h971-s-no?authuser=0, Steps | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc-CoeLqugL9kA2zUgHhvZR93PIL9ePE6RyfcCymTBRn_zZJ5yZs2VsdqsJQbN-uNxZtmv0wUlFE2MGWgWstWJ9JOhXSTN88QwPzXuCUvrS3WF9m0pTVZBM39Rp-mr36JB51Zi9u5Qnhc1Vbv7XyDOSTMg=w1465-h971-s-no?authuser=0, Fresno | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc8FH2_P079-KS8MFeRIKX_zrWkLcxEH5rajWilUkx_y46n8VmPXwmQlNUvUcESAYlg4mph3P1Q-ccRFyfMaG8Pq6YdcNbv8hGlG6aNo08g2TRuq-n2TnWXZHWfLNvwptHqNPWqNv_CHWdTsdzCu1r6Jhg=w644-h971-s-no?authuser=0, Spire | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc98i3c6TCpo8BvEs8YiXPLbAl3HeuEzryGdUvYA74JZQ6qo9wgJnjzKppNIZv9Wnai0ozCO1HDBggeobBRbR67gmzaK1RNgWla9EN1BvnSx4pZnSZqCJXRad4RIDWncujeXHSydhn4vxUh1UN-xnnUnlQ=w1465-h971-s-no?authuser=0, Down to the Bay | Jul '23 | Portra 400 on Nikon F3HP 
https://lh3.googleusercontent.com/pw/AIL4fc9KKUCNqvnfEE2KlyvqtI3d4w_dc4hCWcOEwBBaEaHhvS5qTI42EjXYn9Zcrzx3nkohChhsnsW5qleJoalnn-3lOrIgXzI97_b4lPFTf62EjMW9thbswKOm77l3tH-76egCmD_iWR3qVrXOow2LL1Hr9Q=w644-h971-s-no?authuser=0, Polk | Jul '23 | Portra 400 on Nikon F3HP 
